"ID","wgt","assign","treat","r52","work52","y52","h52","w52","r130","work130","y130","h130","w130","r208","work208","y208","h208","w208","TOTHRSW","EARNY4"
513047,12.49659,0,0,1,1,240,40,6,1,1,402.8,40,10.07,1,0,0,0,NA,30.731101331,226.23526341
516028,9.307692,1,NA,1,1,353.6,40,8.84,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
519025,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
519038,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,2.6730769231,0
520027,6.467032,1,1,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
521055,9.307692,1,NA,1,1,69.5,25,2.78,1,0,0,0,NA,1,0,0,0,NA,6.0192307692,0
523011,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,14.336538462,221.14938538
523024,12.49659,0,0,1,1,105,15,7,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
523105,6.467032,1,1,1,0,0,0,NA,1,1,384.8,40,9.62,1,1,400,40,10,31.826923077,380.73679906
524036,12.49659,0,0,1,0,0,0,NA,1,1,187.5,30,6.25,1,0,0,0,NA,24.874051209,287.87504767
525019,9.307692,1,1,1,0,0,0,NA,1,1,320,40,8,1,1,300,40,7.5,18.359016957,215.24085742
526018,9.307692,1,1,1,0,0,0,NA,1,1,288,40,7.2,1,1,96,12,8,20.846153846,146.2754786
526034,12.49659,0,0,1,1,296,40,7.4,1,1,320,40,8,1,1,392,40,9.8,44.086538462,503.75812768
529015,9.307692,1,1,0,NA,NA,NA,NA,1,0,0,0,NA,1,0,0,0,NA,15.128128881,0
530062,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,1,280,40,7,7.4807692308,151.64029459
530127,12.49659,0,0,1,0,0,0,NA,1,1,489,84,5.82142857142857,1,1,726,66,11,37.9375,711.25043547
530240,9.307692,1,1,1,1,101,20,5.05,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
530253,19.99454,0,0,1,1,127.5,30,4.25,1,0,0,0,NA,1,1,220,40,5.5,28.759615385,217.55043548
534055,9.307692,1,0,1,0,0,0,NA,1,1,224,32,7,1,1,296.64,36,8.24,21.009615385,279.46698937
535012,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
540036,9.307692,1,1,1,1,288,48,6,1,1,277.13625866,70,3.95908940942857,1,1,440,40,11,32.067307692,342.37475074
541022,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,15.038461538,144.23432032
541080,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,1,1,280,40,7,13.129807692,178.45550474
541093,9.307692,1,1,1,1,144,24,6,1,1,529,40,13.225,0,NA,NA,NA,NA,NA,NA
541161,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,0.3846153846,0
543017,6.467032,1,1,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,18.359016957,0
547026,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,0,0
547068,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,17.586538462,308.33282112
549011,9.307692,1,1,1,1,126,28,4.5,1,1,245,35,7,1,1,214.4,32,6.7,27.573116272,103.88289508
550097,9.307692,1,1,1,1,247.5,45,5.5,1,0,0,0,NA,1,1,116.25,15,7.75,26.201923077,46.510281233
551067,12.49659,0,0,1,1,190,40,4.75,1,1,240,40,6,1,1,536.66666667,84,6.38888888892857,38.730769231,379.93894287
557016,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,7.5,290.30302186
559030,9.307692,1,1,1,0,0,0,NA,1,1,344,40,8.6,1,1,307.2,40,7.68,20.961538462,303.8668163
562014,12.49659,0,0,1,1,185,50,3.7,1,1,225,45,5,1,1,288,48,6,36.634615385,301.35844185
562027,9.307692,1,1,1,1,339.36,48,7.07,1,1,147,28,5.25,1,1,594,60,9.9,25.747896379,565.26617437
563013,12.49659,0,0,1,1,115.5,21,5.5,1,1,351,54,6.5,1,1,227.5,35,6.5,35.110576923,216.49504153
564038,12.49659,0,0,1,1,270,50,5.4,1,1,407.95865567,73,5.58847473520548,1,1,354,51,6.94117647058824,51.485576923,336.87580089
564096,6.467032,1,0,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
566023,9.307692,1,0,1,1,240,48,5,1,1,160,32,5,1,1,180,50,3.6,21.605769231,192.70513167
566078,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,1,1,224,32,7,31.668269231,268.56193633
566094,6.467032,1,1,1,1,240,40,6,1,0,0,0,NA,1,1,240,40,6,29.692307692,212.53060593
567022,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
568018,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,2.0192307692,25.738811389
571018,6.467032,1,1,1,0,0,0,NA,1,1,237.5,50,4.75,1,1,240,40,6,24.173076923,116.73861344
572059,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,1,250.11547344,40,6.252886836,21.825481789,236.17186744
573045,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,0,0
579049,6.467032,1,1,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,0,0
579117,12.49659,0,0,1,0,0,0,NA,1,1,236.25,45,5.25,1,0,0,0,NA,24.697115385,96.628274375
580041,9.307692,1,1,1,0,0,0,NA,1,1,250,40,6.25,1,1,436,40,10.9,21.825481789,362.47908167
580070,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,1,1,334,40,8.35,14.038461538,317.84326976
584047,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,2.0480769231,0
584063,6.467032,1,1,1,1,133,28,4.75,1,1,230,40,5.75,1,1,241.5,42,5.75,26.211538462,258.43085465
585017,9.307692,1,1,1,0,0,0,NA,1,1,250,48,5.20833333333333,1,1,225.6,40,5.64,27.169011725,320.45937192
585020,12.49659,0,0,1,1,85,20,4.25,1,1,125,28,4.46428571428571,1,1,144.2,28,5.15,26.980354241,337.96397807
585266,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,1,1,210,40,5.25,3.2692307692,65.318032298
585305,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,1,1,192,24,8,8.9615384615,118.28929657
585350,9.307692,1,1,1,0,0,0,NA,1,1,290,40,7.25,1,1,451.5,50,9.03,30,429.65939011
585376,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,0,0
586058,9.307692,1,1,1,1,630,84,7.5,1,0,0,0,NA,1,0,0,0,NA,6.8653846154,27.993442413
586100,9.307692,1,1,1,1,200,40,5,1,0,0,0,NA,1,0,0,0,NA,15.128128881,7.7146361952
590031,12.49659,0,0,1,1,259,45,5.75555555555556,1,1,200,72,2.77777777777778,1,1,83.4,12,6.95,35.889423077,62.562599338
591030,19.99454,0,0,1,1,50,35,1.42857142857143,1,0,0,0,NA,1,0,0,0,NA,0.8076923077,0
592042,6.467032,1,0,1,0,0,0,NA,1,0,0,0,NA,1,1,156.25,25,6.25,11.730769231,209.31183214
593012,9.307692,1,0,0,NA,NA,NA,NA,1,1,560,40,14,1,1,560,40,14,NA,532.91087146
597018,12.49659,0,0,1,1,493.5,84,5.875,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
600044,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,1,270.9,35,7.74,14.182692308,281.39323979
601014,9.307692,1,1,1,0,0,0,NA,1,1,264,48,5.5,1,1,432,48,9,34.413461538,411.10267227
601027,12.49659,0,0,0,NA,NA,NA,NA,1,1,320,40,8,1,1,372.9,66,5.65,NA,297.03332002
601030,9.307692,1,0,1,0,0,0,NA,1,1,393.6,48,8.2,0,NA,NA,NA,NA,NA,NA
603025,9.307692,1,NA,1,1,60,12,5,1,1,438,76,5.76315789473684,1,1,273,42,6.5,17.604036523,234.21977611
605023,9.307692,1,1,1,1,185,84,2.20238095238095,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
605065,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,2.1153846154,48.302410439
605117,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,24.298076923,102.53506302
605159,19.99454,0,0,0,NA,NA,NA,NA,1,1,140,40,3.5,1,0,0,0,NA,15.301828232,46.688053577
607018,9.307692,1,0,1,0,0,0,NA,1,1,600,80,7.5,1,0,0,0,NA,32.884615385,472.13226922
608017,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,11.033653846,36.592735181
610089,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,1,1,325.487157848894,42,7.74969423449747,3.0288461538,0
612029,9.307692,1,1,1,1,711.52941176,84,8.4705882352381,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
612074,9.307692,1,0,1,0,0,0,NA,1,1,280,35,8,1,0,0,0,NA,16.038461538,255.15699894
612207,12.49659,0,0,1,1,150,30,5,1,1,160,32,5,1,0,0,0,NA,44.403846154,124.43684376
612210,9.307692,1,1,1,0,0,0,NA,1,1,242.26327945,55,4.40478689909091,1,1,493,50,9.86,36.826923077,469.1518922
613031,9.307692,1,1,1,0,0,0,NA,1,1,384,48,8,0,NA,NA,NA,NA,NA,NA
617011,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
618023,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,0,0
619019,9.307692,1,1,1,0,0,0,NA,1,1,292.5,45,6.5,1,1,550,50,11,29.711538462,237.91579531
621023,12.49659,0,0,1,1,200,40,5,1,1,590.7,75,7.876,1,1,406.8,40,10.17,42.038461538,462.44762914
621052,9.307692,1,1,1,1,120.4,28,4.3,1,0,0,0,NA,1,0,0,0,NA,1.4230769231,0
622048,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,2.4230769231,0
622064,9.307692,1,1,1,0,0,0,NA,1,1,630,84,7.5,1,1,486,54,9,34.538461538,71.136277191
622116,19.99454,0,0,1,1,212.8,32,6.65,1,1,336.96,48,7.02,1,1,330.8,40,8.27,43.192307692,314.72679674
624033,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
625061,6.467032,1,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,0,0
625074,12.49659,0,0,1,1,110,20,5.5,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
626109,9.307692,1,0,1,0,0,0,NA,1,1,180,36,5,0,NA,NA,NA,NA,15.128128881,171.69206525
626222,9.307692,1,1,1,1,235,40,5.875,1,0,0,0,NA,1,0,0,0,NA,24.836538462,179.08484597
626251,19.99454,0,0,1,1,324.6,62,5.23548387096774,0,NA,NA,NA,NA,0,NA,NA,NA,NA,20.639503624,NA
627030,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,0,0
627056,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,2.0961538462,48.225898356
629012,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,1,248,32,7.75,8.9230769231,236.00338593
630014,9.307692,1,0,1,1,140,28,5,1,1,281.25,45,6.25,1,0,0,0,NA,20.673076923,108.68042349
632025,9.307692,1,NA,1,0,0,0,NA,1,0,0,0,NA,1,1,85.6,16,5.35,0.3076923077,6.2646762629
636021,12.49659,0,0,1,1,264,48,5.5,1,0,0,0,NA,1,1,600,60,10,15.657781336,168.30496406
640017,19.99454,0,0,1,1,337.5,45,7.5,1,1,252,36,7,1,0,0,0,NA,25.600961538,0
642028,9.307692,1,1,1,0,0,0,NA,1,1,200,40,5,1,1,240,40,6,26.083258175,12.624493637
644013,6.467032,1,1,1,0,0,0,NA,1,1,180,24,7.5,1,0,0,0,NA,17.177884615,199.06447938
645038,9.307692,1,0,1,1,78.3,18,4.35,1,1,180,40,4.5,1,1,252,36,7,27.169011725,320.45937192
650010,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
650036,12.49659,0,0,1,0,0,0,NA,1,1,345,60,5.75,0,NA,NA,NA,NA,NA,NA
651035,6.467032,1,0,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
654016,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,5.3461538462,0
654126,9.307692,1,1,1,0,0,0,NA,1,1,449.07621209,84,5.34614538202381,1,0,0,0,NA,23.826923077,0
656014,12.49659,0,0,1,1,150,48,3.125,1,1,288.4,56,5.15,1,0,0,0,NA,33.346153846,76.588594733
656030,6.467032,1,1,1,0,0,0,NA,1,1,627.648,84,7.472,1,0,0,0,NA,21.971153846,0
657026,12.49659,0,0,1,0,0,0,NA,1,1,220,40,5.5,1,0,0,0,NA,8.8076923077,45.243257777
657107,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
657152,9.307692,1,1,1,0,0,0,NA,1,1,340,40,8.5,1,1,456.50285253,63,7.24607702428571,21.825481789,91.875783956
657165,9.307692,1,0,1,1,312,48,6.5,1,1,700,80,8.75,1,1,350,50,7,43.836538462,364.3976555
657178,9.307692,1,1,1,1,156.96955567,35.674899016,4.39999999998879,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
657301,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,6,131.29473383
657330,6.467032,1,1,1,0,0,0,NA,1,1,198,40,4.95,1,1,204.8,32,6.4,17,194.84899629
659037,9.307692,1,0,1,0,0,0,NA,1,1,442.5,50,8.85,1,0,0,0,NA,35.581730769,384.81835134
659079,12.49659,0,0,1,0,0,0,NA,1,1,262.15,49,5.35,0,NA,NA,NA,NA,NA,NA
659105,9.307692,1,1,1,0,0,0,NA,1,1,198,36,5.5,1,1,189,21,9,13.783653846,113.56412365
659150,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,13.153846154,103.99668975
660026,9.307692,1,0,1,0,0,0,NA,1,1,420,40,10.5,1,1,400,40,10,31.230769231,401.05637758
661012,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
663023,12.49659,0,0,1,1,384,48,8,1,0,0,0,NA,1,1,163.46065943,24,6.81086080958333,26.264393323,101.68503459
664064,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,3.5336538462,50.71753096
664161,12.49659,0,0,1,0,0,0,NA,1,1,412.5,50,8.25,1,1,342.4,40,8.56,27.980769231,325.76316567
664190,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
664239,12.49659,0,0,1,0,0,0,NA,1,1,360,45,8,1,1,804.21301775,84,9.57396449702381,25.100961538,210.05798091
667016,6.467032,1,1,1,0,0,0,NA,1,1,250,50,5,1,1,260,40,6.5,30.144230769,246.63503512
667058,9.307692,1,0,1,1,264,48,5.5,1,1,532.4,46,11.5739130434783,1,1,878.00381169,65,13.5077509490769,52.418269231,835.34258519
668028,9.307692,1,0,1,1,106.25,25,4.25,1,1,240,40,6,1,0,0,0,NA,12.163461538,107.94765396
670016,9.307692,1,1,1,0,0,0,NA,1,1,216,36,6,1,0,0,0,NA,18.480769231,0
671028,9.307692,1,1,1,0,0,0,NA,1,1,262.5,42,6.25,1,1,459,54,8.5,36.317307692,608.7384461
676049,9.307692,1,1,1,0,0,0,NA,1,1,250,40,6.25,1,0,0,0,NA,18.653846154,104.33320655
677019,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,3.0769230769,0
678092,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,0,0
678186,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,1,216,40,5.4,18.692307692,205.50480077
678241,9.307692,1,1,1,1,1165.5,70,16.65,1,1,496.4,40,12.41,1,1,640,40,16,31.899038462,608.90311341
683032,12.49659,0,0,1,1,330,60,5.5,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
