"const","wgt","female","age","haschld","educ","educ.m","educ.f","currjob","mosinjob","yr_work1","earn_yr","white","partnered","evarrst","p_inc","hh_inc","R.educ.m","R.educ.f","R.hh_inc","I.educ.m","I.educ.f","I.hh_inc"
1,6.467032,1,20.43014,1,10,16,8,1,8,1,0.581584471932866,0,1,0,0,1,1,1,1,16,8,1
1,6.467032,1,16.07397,0,9,9,12,0,0,0,-0.683781229648494,0,0,0,0,1,1,1,0,9,12,0
1,12.49659,1,16.01096,0,6,11,12,0,10.75,1,-0.366318026148915,0,0,0,0,0,1,1,1,11,12,0
1,6.467032,1,17.36712,1,8,0,0,0,0,0,-0.683781229648494,0,0,0,0,0,1,1,0,0,0,0
1,19.99454,1,16.23288,0,8,10.4286917491560,12.1258557609596,0,0,0,-0.683781229648494,1,0,1,0,1,0,0,0,0,0,0
1,9.307692,0,16.0137,0,9,12,12,0,0,0,-0.683781229648494,0,1,1,0,1,1,1,1,12,12,1
1,6.467032,1,17.30137,0,10,11,12,0,10,1,1.17792171214621,0,1,1,0,1,1,1,1,11,12,1
1,9.307692,0,16.2548,0,7,10,12,0,1,1,-0.504296732970287,1,0,1,0,0,1,1,1,10,12,0
1,9.307692,0,18.50959,0,12,9,10.5547952992997,0,0,0,-0.683781229648494,1,0,0,0,0,1,0,0,9,0,0
1,12.49659,0,18.44931,0,12,12,10.6961721586717,0,1.5,1,-0.488143128269248,1,0,0,0,1,1,0,1,12,0,1
1,9.307692,1,19.08493,0,12,12,12.1146082752837,0,0,0,-0.683781229648494,0,0,0,0,1,1,0,0,12,0,0
1,9.307692,0,16.31507,0,9,12,12,0,0,0,-0.683781229648494,0,0,0,0,1,1,1,0,12,12,0
1,9.307692,0,18.94521,0,10,12,12.7935877533945,0,0,0,-0.683781229648494,0,0,1,0,1,1,0,0,12,0,0
1,12.49659,0,21.44931,0,10,9,9,0,9.25,1,1.47451984290695,1,0,1,1,1,1,1,1,9,9,1
1,12.49659,0,19.48767,0,9,13.8421025245689,12.1309234745025,1,13,1,1.24298484219206,1,0,0,0,0,0,0,1,0,0,0
1,9.307692,0,16.18356,0,10,12,17.7683331680967,0,0,0,-0.683781229648494,0,0,1,0,0,1,0,0,12,0,0
1,12.49659,0,16.00548,0,9,12,11.0955878218695,0,3.06150988272593,1,0.178562713671003,0,0,1,0,0,1,0,0,12,0,0
1,9.307692,1,17.2137,0,10,12,10.5588179723550,0,12.75,1,0.414663890022133,0,0,1,0,1,1,0,1,12,0,1
1,12.49659,0,19.16986,0,10,12,9.87718465818114,0,0,0,-0.683781229648494,0,0,0,0,0,1,0,1,12,0,0
1,12.49659,0,16.80548,0,9,10.8830095356209,12.4191424332093,1,1,1,-0.546475589689665,1,0,0,0,0,0,0,0,0,0,0
1,9.307692,1,20.30137,0,12,16,16,1,7,1,0.105053133252226,0,0,0,0,1,1,1,1,16,16,1
1,9.307692,1,16.14795,0,9,11,8,0,2.75,1,-0.224749629393979,1,0,1,0,0,1,1,1,11,8,0
1,9.307692,0,19.32329,1,10,12,12,1,11.5,1,2.55726006911823,0,0,1,1,1,1,1,1,12,12,1
1,12.49659,0,17.35616,0,10,11,12,1,5,1,1.11891618386325,1,0,1,1,1,1,1,1,11,12,1
1,6.467032,1,19.36438,1,12,16,10,0,0,0,-0.683781229648494,0,0,0,0,0,1,1,1,16,10,0
1,9.307692,0,19.0137,0,10,12,12,0,2.25,1,-0.469241167212824,0,0,0,0,1,1,1,1,12,12,1
1,12.49659,1,20.13973,1,10,8,8,0,9,1,0.336363778346266,1,0,0,0,1,1,1,1,8,8,1
1,12.49659,0,16.38904,0,9,14,11,0,3.75,1,-0.12154604380401,0,0,0,0,1,1,1,1,14,11,1
